4.609604, PhraseCheck, (-0.36, 0.19, 0.91), (-0.36, 0.19, 0.91), 0, 0, (-0.43, 0.70, -1.59), (-0.36, 0.70, -1.57), (-0.08931, -0.18619, -0.03200, 0.97792), (-0.08931, -0.18619, -0.03200, 0.97792)
4.637382, PhraseCheck, (-0.36, 0.19, 0.91), (-0.36, 0.19, 0.91), 0, 0, (-0.43, 0.70, -1.59), (-0.36, 0.70, -1.57), (-0.08944, -0.18623, -0.03198, 0.97790), (-0.08944, -0.18623, -0.03198, 0.97790)
4.66516, PhraseCheck, (-0.36, 0.19, 0.91), (-0.36, 0.19, 0.91), 0, 0, (-0.43, 0.70, -1.59), (-0.36, 0.70, -1.57), (-0.08941, -0.18618, -0.03188, 0.97792), (-0.08941, -0.18618, -0.03188, 0.97792)
4.692937, PhraseCheck, (-0.36, 0.19, 0.91), (-0.36, 0.19, 0.91), 0, 0, (-0.43, 0.70, -1.59), (-0.36, 0.70, -1.57), (-0.08952, -0.18626, -0.03204, 0.97789), (-0.08952, -0.18626, -0.03204, 0.97789)
4.720715, PhraseCheck, (-0.36, 0.19, 0.91), (-0.36, 0.19, 0.91), 0, 0, (-0.43, 0.70, -1.59), (-0.36, 0.70, -1.57), (-0.08928, -0.18619, -0.03173, 0.97793), (-0.08928, -0.18619, -0.03173, 0.97793)
4.748493, PhraseCheck, (-0.36, 0.19, 0.91), (-0.36, 0.19, 0.91), 0, 0, (-0.43, 0.70, -1.59), (-0.36, 0.70, -1.57), (-0.08945, -0.18631, -0.03211, 0.97788), (-0.08945, -0.18631, -0.03211, 0.97788)
4.776271, PhraseCheck, (-0.36, 0.19, 0.91), (-0.36, 0.19, 0.91), 0, 0, (-0.43, 0.70, -1.59), (-0.36, 0.70, -1.57), (-0.08925, -0.18614, -0.03175, 0.97795), (-0.08925, -0.18614, -0.03175, 0.97795)
4.804049, PhraseCheck, (-0.36, 0.19, 0.91), (-0.36, 0.19, 0.91), 0, 0, (-0.43, 0.70, -1.59), (-0.36, 0.70, -1.57), (-0.08951, -0.18623, -0.03203, 0.97790), (-0.08951, -0.18623, -0.03203, 0.97790)
4.831826, PhraseCheck, (-0.36, 0.19, 0.91), (-0.36, 0.19, 0.91), 0, 0, (-0.43, 0.70, -1.59), (-0.36, 0.70, -1.57), (-0.08940, -0.18619, -0.03191, 0.97792), (-0.08940, -0.18619, -0.03191, 0.97792)
4.859604, PhraseCheck, (-0.36, 0.19, 0.91), (-0.36, 0.19, 0.91), 0, 0, (-0.43, 0.70, -1.59), (-0.36, 0.70, -1.57), (-0.08939, -0.18621, -0.03187, 0.97792), (-0.08939, -0.18621, -0.03187, 0.97792)
4.887382, PhraseCheck, (-0.36, 0.19, 0.91), (-0.36, 0.19, 0.91), 0, 0, (-0.43, 0.70, -1.59), (-0.36, 0.70, -1.57), (-0.08948, -0.18629, -0.03205, 0.97789), (-0.08948, -0.18629, -0.03205, 0.97789)
4.91516, PhraseCheck, (-0.36, 0.19, 0.91), (-0.36, 0.19, 0.91), 0, 0, (-0.43, 0.70, -1.59), (-0.36, 0.70, -1.57), (-0.08936, -0.18611, -0.03180, 0.97794), (-0.08936, -0.18611, -0.03180, 0.97794)
4.942937, PhraseCheck, (-0.36, 0.19, 0.91), (-0.36, 0.19, 0.91), 0, 0, (-0.43, 0.70, -1.59), (-0.36, 0.70, -1.57), (-0.08950, -0.18630, -0.03208, 0.97788), (-0.08950, -0.18630, -0.03208, 0.97788)
4.970715, PhraseCheck, (-0.36, 0.19, 0.91), (-0.36, 0.19, 0.91), 0, 0, (-0.43, 0.70, -1.59), (-0.36, 0.70, -1.57), (-0.08927, -0.18619, -0.03176, 0.97793), (-0.08927, -0.18619, -0.03176, 0.97793)
4.998493, PhraseCheck, (-0.36, 0.19, 0.91), (-0.36, 0.19, 0.91), 0, 0, (-0.43, 0.70, -1.59), (-0.36, 0.70, -1.57), (-0.08953, -0.18631, -0.03206, 0.97788), (-0.08953, -0.18631, -0.03206, 0.97788)
5.026271, PhraseCheck, (-0.36, 0.19, 0.91), (-0.36, 0.19, 0.91), 0, 0, (-0.43, 0.70, -1.59), (-0.36, 0.70, -1.57), (-0.08941, -0.18621, -0.03187, 0.97791), (-0.08941, -0.18621, -0.03187, 0.97791)
5.054049, PhraseCheck, (-0.36, 0.19, 0.91), (-0.36, 0.19, 0.91), 0, 0, (-0.43, 0.70, -1.59), (-0.36, 0.70, -1.57), (-0.08936, -0.18623, -0.03186, 0.97792), (-0.08936, -0.18623, -0.03186, 0.97792)
5.081826, PhraseCheck, (-0.36, 0.19, 0.91), (-0.36, 0.19, 0.91), 0, 0, (-0.43, 0.70, -1.59), (-0.36, 0.70, -1.57), (-0.08942, -0.18623, -0.03201, 0.97791), (-0.08942, -0.18623, -0.03201, 0.97791)
5.109604, PhraseCheck, (-0.36, 0.19, 0.91), (-0.36, 0.19, 0.91), 0, 0, (-0.43, 0.70, -1.59), (-0.36, 0.70, -1.57), (-0.08936, -0.18618, -0.03182, 0.97793), (-0.08936, -0.18618, -0.03182, 0.97793)
5.137382, PhraseCheck, (-0.36, 0.19, 0.91), (-0.36, 0.19, 0.91), 0, 0, (-0.43, 0.70, -1.59), (-0.36, 0.70, -1.57), (-0.08946, -0.18623, -0.03197, 0.97790), (-0.08946, -0.18623, -0.03197, 0.97790)
5.16516, PhraseCheck, (-0.36, 0.19, 0.91), (-0.36, 0.19, 0.91), 0, 0, (-0.43, 0.70, -1.59), (-0.36, 0.70, -1.57), (-0.08936, -0.18619, -0.03192, 0.97792), (-0.08936, -0.18619, -0.03192, 0.97792)
