Left Controller Velocity,Left Controller Position X,Left Controller Position Y,Left Controller Position Z,Left Controller Rotation X,Left Controller Rotation Y,Left Controller Rotation Z
0.5996547,-0.1157434,0.5972266,0.3608578,344.9464,47.80953,317.4757
0.5996547,-0.1156742,0.5970913,0.3603657,344.802,47.87446,317.5351
0.5996547,-0.1158362,0.5970814,0.3602645,344.7723,47.83362,317.592
0.5996547,-0.116384,0.5969033,0.3599776,344.6376,47.87471,317.5755
0.001920132,-0.4734911,0.8010294,0.4252267,319.8035,345.0252,44.37963
0.01023934,-0.4732651,0.8007106,0.4254417,319.9267,345.0277,43.94086
0.03788402,-0.4776787,0.8011374,0.4250402,319.644,342.4406,44.7008
0.08229924,-0.4920985,0.8053333,0.4219895,319.0267,336.0107,50.03272
0.08229924,-0.4963428,0.803344,0.4242072,320.0549,336.2481,48.82176
0.08229924,-0.4981006,0.8027872,0.4237375,320.2519,334.8077,51.00763
0.08229924,-0.4975809,0.8037807,0.4224122,319.3788,335.0753,50.84768
0.08229924,-0.4925902,0.8043094,0.4217553,318.4282,337.2964,49.77737
0.146154,-0.4617666,0.8120024,0.4138826,311.7357,350.2457,30.9658
0.2049321,-0.4449948,0.8062336,0.4158944,314.3894,357.8381,31.62339
0.2889532,-0.4065555,0.8000049,0.3982235,316.7038,17.68192,30.98154
0.2889532,-0.4069772,0.7922587,0.4052968,324.4939,17.84677,54.48311
0.2889532,-0.4131591,0.7937021,0.4102235,324.0316,16.2725,56.20447
0.2889532,-0.4133331,0.7965132,0.4077316,322.4415,16.55662,54.2071
0.2889532,-0.41128,0.7965742,0.405562,322.3403,17.81793,51.08043
0.2889532,-0.4101412,0.7934813,0.4081558,324.8881,17.24636,52.39772
0.2889532,-0.4032836,0.7986844,0.3986494,321.0127,19.83421,47.64293
0.2889532,-0.4055457,0.7975006,0.4007326,321.5165,19.27676,47.09576
0.2889532,-0.4070617,0.7958478,0.4018933,322.526,17.64719,49.71058
0.2889532,-0.4148572,0.7910337,0.4115955,325.7228,14.25862,52.97157
0.2889532,-0.4192722,0.7891009,0.4155397,327.3214,11.99612,53.52827
0.2889532,-0.4182627,0.7803742,0.423959,329.4763,12.4748,50.97626
0.2889532,-0.4248338,0.774995,0.4305983,332.2399,9.075645,52.68443
0.2889532,-0.4272763,0.7768377,0.4301145,332.1495,8.164051,53.11062
0.2889532,-0.4442121,0.7889996,0.4252644,326.8849,0.09643162,54.32676
0.2889532,-0.4818645,0.7622079,0.4505138,338.0743,346.9348,50.34534
0.2889532,-0.4756383,0.7652751,0.4487287,338.5315,348.5109,55.33664
0.2889532,-0.4394414,0.7483761,0.4507912,343.2386,1.74466,43.58761
0.2889532,-0.4400117,0.7416446,0.453926,346.6032,1.96621,42.16175
0.2889532,-0.4715138,0.7380613,0.4617901,346.976,350.0845,42.69022
0.2889532,-0.4995967,0.7751195,0.4438277,336.0989,336.7263,55.34432
0.2889532,-0.5119307,0.7832298,0.437392,332.5576,334.0167,59.84626
0.2889532,-0.5127217,0.7825143,0.4372362,333.7271,334.2736,60.07731
0.2889532,-0.5175707,0.7841437,0.4346113,332.335,332.3201,60.62016
0.2889532,-0.5168426,0.7822005,0.4359553,334.0598,333.9172,61.46237
0.2889532,-0.5219093,0.7784295,0.4370344,335.6538,332.0976,62.81597
0.2889532,-0.5214922,0.779055,0.4368747,335.3975,332.1326,63.19276
0.2889532,-0.5213633,0.7797241,0.4367394,335.0645,332.4599,62.76169
0.2889532,-0.5216083,0.7801101,0.43645,334.515,332.2256,62.76079
0.2889532,-0.4995372,0.7773463,0.438051,334.4561,339.835,60.56401
0.2889532,-0.4824004,0.7795447,0.436116,332.9974,346.0401,56.92926
0.2889532,-0.4825708,0.7808211,0.4356657,332.4261,345.8477,57.19976
0.2889532,-0.4882551,0.7841282,0.4336145,331.3916,343.1538,60.09696
0.3356745,-0.5601454,0.7869163,0.4289888,333.3795,319.1287,65.24395
0.3356745,-0.5885675,0.7972807,0.4233084,331.5311,312.3713,67.87881
0.3356745,-0.5919979,0.7915326,0.4229946,334.0181,311.0486,66.80115
0.3356745,-0.5902759,0.7894053,0.4237489,334.5225,311.8752,67.49899
0.3356745,-0.5863509,0.7918072,0.4227736,332.9212,312.7542,66.77295
0.3356745,-0.5867416,0.7897442,0.4237314,334.1511,312.5575,66.20914
0.3356745,-0.5351793,0.7924062,0.4388183,329.1944,332.06,61.38077
0.3356745,-0.5271139,0.7999143,0.427855,325.1992,331.8396,61.2595
0.3356745,-0.5305417,0.8035102,0.4218941,324.0826,329.1096,64.61264
0.3356745,-0.5313653,0.8026063,0.4230313,325.0694,329.5746,65.6268
0.3356745,-0.5307669,0.8040081,0.4207716,324.2147,329.2051,66.84894
0.3356745,-0.5319996,0.8051056,0.4198504,324.0539,328.7332,67.1032
0.3356745,-0.5322387,0.8056094,0.4193893,323.7326,328.4569,67.4692
0.3356745,-0.5313767,0.8056597,0.4197366,323.6545,329.1681,67.04002
0.3356745,-0.5318564,0.8062977,0.419288,323.6559,329.0168,67.76245
0.3356745,-0.5324088,0.8079937,0.4177003,322.5883,328.5378,69.14657
0.3356745,-0.5301417,0.8078675,0.4180564,322.1909,329.8949,68.69826
0.3356745,-0.5296401,0.8082216,0.4175492,322.3655,329.9753,68.15215
